EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:49:54	0	0.0500	3.2245679995888157	2.841153621673584	0.0	0.0	0.0	0.0
2	17:49:59	0	0.0500	2.8215869140625	2.437859535217285	0.0	0.0	0.0	0.0
3	17:50:04	0	0.0500	2.3722183388157894	2.0153985023498535	0.0	0.0	0.0	0.0
4	17:50:09	0	0.0500	1.9010338712993422	1.5655760765075684	0.0033	0.0151	0.0054	0.0028
5	17:50:15	1	0.0500	1.570543277138158	1.1474709510803223	0.0018	0.0061	0.0027	0.0014
